2026-08-23 13:05:15,866 - INFO - Logging initialized to /home/dali/Documents/ReMow-Rover-Tests/Repeat/Logs/readRecordedRun-2026-08-23_13-05-15.log
2026-08-23 13:05:15,868 - INFO - RoboClaw opened successfully on /dev/serial/by-id/usb-Basicmicro_Inc._USB_Roboclaw_2x15A-if00
2026-08-23 13:05:16,171 - INFO - Encoders reset to zero
2026-08-23 13:05:16,171 - INFO - Starting readRecordedRun with combination: 55
2026-08-23 13:05:16,171 - INFO - Selected most recent recording: 55_20260510-134004_GPSData.csv
2026-08-23 13:05:16,177 - INFO - GREEN_LED initialized on GPIO 17
2026-08-23 13:05:16,179 - INFO - ENU origin from first waypoint: 37.9008713333, -97.66418
2026-08-23 13:05:16,257 - INFO - Path model: 42 rows -> 37 points -> 36 segments, 40.7m total, leading dwell 3.0s
2026-08-23 13:05:16,258 - INFO - === GUIDANCE: tangent_pose === tangent_window=3.0m lookahead=2.0m+0.8s*v [1.5-5.0m] kappa_max=1.00/m slew=0.6/m/s deadband=0.04/m
2026-08-23 13:05:16,258 - WARNING - UNVALIDATED GUIDANCE MODE 'tangent_pose' IS ACTIVE. This steering law has not been field-validated on this machine. Supervised operation only; blade disabled; operator within reach of the physical kill switch.
2026-08-23 13:05:16,258 - WARNING - tangent_pose OPEN DEFECT: large-offset entry may not converge. In simulation, starting ~2m off the path with ~45deg heading error leaves 2.40m residual cross-track and commands ZERO reversals (pure_pursuit recovers the same case to 0.05m). START ON OR NEAR THE PATH, roughly along it, and ABORT if cross-track is not closing. See docs/GUIDANCE.md sections 10 and 12.
2026-08-23 13:05:16,272 - INFO - Actuators commanded to neutral (1100) -- Startup - ensuring neutral position
2026-08-23 13:05:16,272 - INFO - Actuators initialized to neutral (1100)
2026-08-23 13:05:16,272 - INFO - === UNIFIED PATH FOLLOWER INITIALIZED ===
2026-08-23 13:05:16,272 - INFO - First segment: heading 3.8°, length 0.67m; path ends at (2.81E, 0.81N)
2026-08-23 13:05:16,272 - INFO - Initial state: FOLLOWING_PATH (follower mode ACQUIRE)
2026-08-23 13:05:16,272 - INFO - Acquire timeout: 300.0s
2026-08-23 13:05:16,272 - INFO - === WAITING FOR GPS RTK FIX ===
2026-08-23 13:05:16,272 - INFO - Need: relPosValid=1, carrSoln=2, relPosHeadingValid=1 (timeout: 60.0s)
2026-08-23 13:05:16,283 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.0s)
2026-08-23 13:05:16,434 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.2s)
2026-08-23 13:05:16,626 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.4s)
2026-08-23 13:05:16,827 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.6s)
2026-08-23 13:05:17,031 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.8s)
