timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,dist_to_start,heading_diff_to_target,bearing_to_start,offset_distance,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius
2026-07-05 14:05:47,DRIVE_TO_START,37.9008693333,-97.6641908333,-0.22198914855197766,-0.9527948174797765,63.92807,1.8,0.0128611,0.978,62.2,76.9,,1.64,0.500,0.82,RIGHT,743,950,1096,1097,,inf
2026-07-05 14:05:48,DRIVE_TO_START,37.9008693333,-97.6641908333,-0.22198914855197766,-0.9527948174797765,64.06401,1.8,0.008231104,0.978,62.3,76.9,,1.65,0.500,0.83,RIGHT,744,950,1070,1072,,inf
2026-07-05 14:05:48,DRIVE_TO_START,37.9008693333,-97.6641908333,-0.22198914855197766,-0.9527948174797765,64.03666,1.8,0.003601108,0.978,62.3,76.9,,1.65,0.500,0.82,RIGHT,744,950,981,980,83.65,inf
2026-07-05 14:05:48,DRIVE_TO_START,37.9008693333,-97.664191,-0.2219891472685071,-0.9674561754724672,63.9562,1.8,0.01543332,0.993,62.2,77.1,,1.64,0.500,0.82,RIGHT,743,950,885,958,-1.71,inf
2026-07-05 14:05:48,DRIVE_TO_START,37.9008695,-97.664191,-0.20348634792102288,-0.9674561732729146,64.07314,1.8,0.05401662,0.989,62.3,78.1,,1.53,0.500,0.76,RIGHT,735,950,784,955,-0.94,inf
2026-07-05 14:05:48,DRIVE_TO_START,37.9008698333,-97.6641901667,-0.16649185503861733,-0.89416696595747,64.91401,1.8,0.24178868,0.910,63.1,79.5,,1.36,0.500,0.68,RIGHT,721,950,752,955,-0.85,3.39
2026-07-05 14:05:49,DRIVE_TO_START,37.9008701667,-97.6641895,-0.12948626026052085,-0.8355303244637602,67.98424,1.8,0.306608624,0.846,66.2,81.2,,1.39,0.500,0.69,RIGHT,724,950,738,955,-0.82,1.16
2026-07-05 14:05:49,DRIVE_TO_START,37.9008705,-97.6641886667,-0.09249176653905095,-0.7622411184262766,70.9722,1.8,0.39457854800000003,0.768,69.2,83.1,,1.37,0.500,0.69,RIGHT,723,950,732,955,-0.81,1.53
2026-07-05 14:05:49,DRIVE_TO_START,37.900871,-97.6641878333,-0.03699447240383003,-0.6889431175317097,75.05863,1.8,0.43213296,0.690,73.3,86.9,,1.26,0.500,0.63,RIGHT,711,950,732,955,-0.81,1.11
2026-07-05 14:05:49,DRIVE_TO_START,37.9008713333,-97.6641868333,2.231169915618008e-08,-0.6009925538829892,82.43065,1.8,0.425959632,0.601,80.7,90.0,,1.71,0.500,0.86,RIGHT,748,950,725,955,-0.79,0.67
2026-07-05 14:05:49,DRIVE_TO_START,37.9008711667,-97.6641861667,-0.018491684104503792,-0.5423647134453312,91.8497,1.8,0.494895128,0.543,90.1,88.0,,3.07,0.500,1.53,LEFT,907,793,727,954,-0.80,0.60
2026-07-05 14:05:50,DRIVE_TO_START,37.9008711667,-97.664185,-0.018491690020645848,-0.43975279591730027,99.88614,1.8,0.46557182,0.440,98.1,87.6,,0.78,0.500,0.60,LEFT,950,704,769,927,-1.12,0.70
2026-07-05 14:05:50,DRIVE_TO_START,37.9008713333,-97.6641836667,6.091096737565124e-09,-0.32248831468986217,108.10324,1.8,0.62762168,0.322,106.3,90.0,,0.39,0.500,0.60,LEFT,950,704,860,833,6.57,0.82
2026-07-05 14:05:50,ALIGN_PIVOT,37.900871,-97.6641823333,-0.03699449907474469,-0.205215040531176,112.7463,1.8,0.643055,0.209,111.0,79.8,,0.00,0.500,0.00,LEFT,1350,850,923,742,1.03,1.52
2026-07-05 14:05:50,ALIGN_PIVOT,37.900871,-97.6641813333,-0.03699450071028788,-0.11726447965549144,115.79778,1.8,0.37811634,0.123,114.0,72.5,,0.00,0.500,0.00,LEFT,1350,850,969,737,0.75,1.44
2026-07-05 14:05:50,ALIGN_PIVOT,37.900869,-97.6641811667,-0.2589837037132891,-0.10261192043797666,117.74388,1.8,0.613217248,0.279,116.0,21.6,,0.00,0.500,0.00,LEFT,1350,850,1068,816,0.44,3.61
2026-07-05 14:05:51,ALIGN_PIVOT,37.9008685,-97.6641801667,-0.31448100588906786,-0.014661358349330713,114.441,1.8,0.439335176,0.315,112.7,2.7,,0.00,0.500,0.00,LEFT,1350,850,1173,844,0.19,1.56
2026-07-05 14:05:51,ALIGN_PIVOT,37.9008681667,-97.6641796667,-0.3514755068485588,0.029313923295645767,114.1259,1.8,0.33181638,0.353,112.4,355.2,,0.00,0.500,0.00,LEFT,1350,850,1276,844,0.06,12.49
2026-07-05 14:05:51,ALIGN_PIVOT,37.900868,-97.6641793333,-0.3699783060944157,0.05863664143041034,111.54126,1.8,0.219667588,0.375,109.8,351.0,,0.00,0.500,0.00,LEFT,1350,850,1325,845,0.02,0.91
2026-07-05 14:05:51,ALIGN_PIVOT,37.9008678333,-97.6641791667,-0.3884811061219438,0.07328920508990278,108.6513,1.8,0.112148792,0.395,106.9,349.3,,0.00,0.500,0.00,LEFT,1350,850,1339,845,0.01,0.45
2026-07-05 14:05:51,ALIGN_PIVOT,37.9008676667,-97.6641791667,-0.4069728067366144,0.07328920527049554,104.46356,1.8,0.052987731999999996,0.414,102.7,349.8,,0.00,0.500,0.00,LEFT,1350,850,1340,844,0.01,inf
2026-07-05 14:05:52,ALIGN_PIVOT,37.9008676667,-97.6641795,-0.4069728075478063,0.04397528213750787,97.67088,1.8,0.075623268,0.409,95.9,353.8,,0.00,0.500,0.00,LEFT,1350,850,1340,845,0.01,inf
2026-07-05 14:05:52,ALIGN_PIVOT,37.9008675,-97.6641793333,-0.42547560666020495,0.0586366417027049,89.8693,1.8,0.11935100800000001,0.429,88.1,352.2,,0.00,0.500,0.00,LEFT,1350,850,1339,845,0.01,0.16
2026-07-05 14:05:52,ALIGN_PIVOT,37.9008671667,-97.6641791667,-0.46247010785986414,0.0732892057823728,81.21439,1.8,0.12346656,0.468,79.4,351.0,,0.00,0.500,0.00,LEFT,1350,850,1340,845,0.01,0.16
2026-07-05 14:05:52,ALIGN_PIVOT,37.9008668333,-97.664179,-0.4994757073297553,0.08795056489631158,72.96193,1.8,0.20063316,0.507,71.2,350.0,,0.00,0.500,0.00,LEFT,1350,850,1339,845,0.01,0.28
2026-07-05 14:05:52,ALIGN_PIVOT,37.9008665,-97.6641788333,-0.5364702081717456,0.10261192512126677,63.6647,1.8,0.14250098800000002,0.546,61.9,349.2,,0.00,0.500,0.00,LEFT,1350,850,1339,845,0.01,0.17
2026-07-05 14:05:53,ALIGN_PIVOT,37.9008671667,-97.664178,-0.46247010647607795,0.17590112781943423,56.5342,1.8,0.19857538400000002,0.495,54.8,339.2,,0.00,0.500,0.00,LEFT,1350,850,1339,844,0.01,0.34
2026-07-05 14:05:53,ALIGN_PIVOT,37.900867,-97.6641775,-0.48097290584451813,0.21987641157366108,48.596,1.8,0.214008704,0.529,46.8,335.4,,0.00,0.500,0.00,LEFT,1350,850,1339,844,0.01,0.32
2026-07-05 14:05:53,ALIGN_PIVOT,37.9008668333,-97.664177,-0.49947570360086074,0.2638516945114285,39.73588,1.8,0.258765332,0.565,38.0,332.2,,0.00,0.500,0.00,LEFT,1350,850,1340,845,0.01,0.32
2026-07-05 14:05:53,ALIGN_PIVOT,37.9008666667,-97.6641765,-0.5179674033409293,0.3078269775130021,33.55411,1.8,0.18777206,0.603,31.8,329.3,,0.00,0.500,0.00,LEFT,1350,850,1339,845,0.01,0.34
2026-07-05 14:05:53,DRIVE_TO_START,37.9008665,-97.6641761667,-0.5364702016769335,0.3371409008693197,26.93045,1.8,0.153818756,0.634,25.2,327.9,,0.28,0.500,0.60,LEFT,950,704,1340,844,0.01,0.27
2026-07-05 14:05:54,DRIVE_TO_START,37.9008671667,-97.6641755,-0.46247009858810206,0.3957775387203244,17.50997,1.8,0.14147210000000002,0.609,15.7,319.4,,0.27,0.500,0.60,LEFT,950,704,1314,818,0.05,0.19
2026-07-05 14:05:54,DRIVE_TO_START,37.9008671667,-97.664175,-0.4624700960823274,0.4397528209555964,9.0282,1.8,0.197032052,0.638,7.3,316.4,,0.30,0.500,0.60,LEFT,950,704,1218,731,0.18,0.26
2026-07-05 14:05:54,DRIVE_TO_START,37.9008673333,-97.6641746667,-0.4439783940455697,0.4690667424081117,1.27073,1.8,0.201662048,0.646,0.5,313.4,,0.33,0.500,0.60,LEFT,950,704,1120,713,0.32,0.28
