timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,segment_index,lookahead_east,lookahead_north,cross_track_error,alpha_deg,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s
2026-07-05 15:41:32,FOLLOW_ACQUIRE,37.9008421667,-97.664185,-3.2373351292341956,-0.4397529684767029,36.91655,3.7,0.002057776,0.00,2.00,0,0.14,1.99,3.267,-30.6,5.17,1.070,2.59,LEFT,637,493,1093,1097,,inf,0.0
2026-07-05 15:41:32,FOLLOW_ACQUIRE,37.9008421667,-97.664185,-3.2373351292341956,-0.4397529684767029,37.01141,3.7,0.006687772,0.00,2.00,0,0.14,1.99,3.267,-30.7,5.16,1.070,2.58,LEFT,638,492,1091,1091,,inf,0.0
2026-07-05 15:41:32,FOLLOW_ACQUIRE,37.9008421667,-97.664185,-3.2373351292341956,-0.4397529684767029,36.94084,3.7,0.006687772,0.00,2.00,0,0.14,1.99,3.267,-30.6,5.17,1.070,2.59,LEFT,637,493,1043,1043,inf,inf,0.0
2026-07-05 15:41:32,FOLLOW_ACQUIRE,37.9008421667,-97.664185,-3.2373351292341956,-0.4397529684767029,36.9442,3.7,0.003601108,0.00,2.00,0,0.14,1.99,3.267,-30.6,5.17,1.070,2.58,LEFT,637,493,951,944,15.25,inf,0.0
2026-07-05 15:41:33,FOLLOW_ACQUIRE,37.9008421667,-97.664185,-3.2373351292341956,-0.4397529684767029,36.81511,3.7,0.010803324000000001,0.00,2.00,0,0.14,1.99,3.267,-30.5,5.19,1.070,2.59,LEFT,637,493,840,826,13.35,inf,0.0
2026-07-05 15:41:33,FOLLOW_ACQUIRE,37.9008425,-97.6641846667,-3.200340629766663,-0.4104390331192916,36.94619,3.7,0.161020972,0.00,2.00,0,0.14,1.99,3.227,-30.9,5.09,1.070,2.54,LEFT,639,491,756,741,16.40,12.16,0.0
2026-07-05 15:41:33,FOLLOW_ACQUIRE,37.900843,-97.6641838333,-3.1448433326502436,-0.3371410069939685,36.04814,3.7,0.45836960400000004,0.00,2.00,0,0.14,1.99,3.163,-30.7,5.05,1.070,2.53,LEFT,639,491,669,640,10.75,6.00,0.0
2026-07-05 15:41:33,FOLLOW_ACQUIRE,37.900844,-97.6641825,-3.0338487360591913,-0.21987647776343472,33.91205,3.7,0.807162636,0.00,2.00,0,0.14,1.99,3.042,-29.8,5.07,1.070,2.54,LEFT,639,491,653,542,3.17,4.40,0.0
2026-07-05 15:41:33,FOLLOW_ACQUIRE,37.9008455,-97.664181,-2.867356835728843,-0.08795058898472254,31.32608,3.7,0.9954491400000001,0.00,2.00,0,0.14,1.99,2.869,-28.6,5.08,1.070,2.54,LEFT,639,491,649,506,2.56,4.29,0.0
2026-07-05 15:41:34,FOLLOW_ACQUIRE,37.900847,-97.6641793333,-2.7008649351484855,0.05863665793794328,29.60219,3.7,1.17807676,0.00,2.00,0,0.14,1.99,2.702,-28.6,4.91,1.070,2.45,LEFT,641,489,650,497,2.41,8.03,0.0
2026-07-05 15:41:34,FOLLOW_ACQUIRE,37.9008486667,-97.6641778333,-2.515870231733494,0.19056253508938872,27.00238,3.7,1.099881272,0.00,2.00,0,0.14,1.99,2.523,-27.6,4.86,1.070,2.43,LEFT,642,488,650,494,2.37,4.96,0.0
2026-07-05 15:41:34,FOLLOW_ACQUIRE,37.9008501667,-97.6641761667,-2.3493783243450013,0.3371409754305527,24.26583,3.7,1.1461812320000002,0.00,2.00,0,0.14,1.99,2.373,-26.8,4.81,1.070,2.41,LEFT,643,487,649,493,2.37,4.76,0.0
2026-07-05 15:41:34,FOLLOW_ACQUIRE,37.9008516667,-97.6641751667,-2.1828864192147157,0.42509155039815155,23.92639,3.7,1.101939048,0.00,2.00,0,0.14,1.99,2.224,-27.8,4.49,1.070,2.24,LEFT,648,482,649,492,2.36,36.64,0.0
2026-07-05 15:41:34,FOLLOW_ACQUIRE,37.9008535,-97.6641733333,-1.9794000067240733,0.5863401345693137,21.49812,3.7,1.3766521440000001,0.00,2.00,0,0.14,1.99,2.064,-27.9,4.27,1.070,2.14,LEFT,653,477,649,489,2.32,6.57,0.0
2026-07-05 15:41:35,FOLLOW_ACQUIRE,37.900856,-97.6641721667,-1.7019134955151922,0.6889432584680677,19.88656,3.7,1.399802124,0.00,2.00,0,0.14,1.99,1.836,-28.3,3.94,1.070,1.97,LEFT,660,470,653,483,2.19,12.05,0.0
2026-07-05 15:41:35,FOLLOW_ACQUIRE,37.900858,-97.6641706667,-1.4799242807724937,0.8208691018472949,16.84687,3.7,1.290739996,0.00,2.00,0,0.14,1.99,1.692,-27.9,3.78,1.070,1.89,LEFT,664,466,655,479,2.12,3.59,0.0
2026-07-05 15:41:35,FOLLOW_ACQUIRE,37.9008598333,-97.6641695,-1.2764378669404628,0.923481014622603,14.43037,3.7,1.103996824,0.00,2.00,0,0.14,1.99,1.575,-27.9,3.60,1.070,1.80,LEFT,669,461,655,473,2.06,5.45,0.0
