timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,segment_index,lookahead_east,lookahead_north,cross_track_error,alpha_deg,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed
2026-07-18 11:31:59,FOLLOW_ACQUIRE,37.9008525,-97.6642091667,-2.0903942271636753,-2.5652282255254493,57.17642,3.7,0.0030866640000000002,0.00,2.00,0,0.14,1.99,3.309,-23.7,6.11,1.070,3.05,LEFT,626,504,1092,1096,,inf,0.0,0.947,1.193,1.009,1.131
2026-07-18 11:31:59,FOLLOW_ACQUIRE,37.9008525,-97.6642091667,-2.0903942271636753,-2.5652282255254493,57.26791,3.7,0.000514444,0.00,2.00,0,0.14,1.99,3.309,-23.7,6.09,1.070,3.04,LEFT,627,503,1086,1090,,inf,0.0,0.947,1.193,1.008,1.132
2026-07-18 11:32:00,FOLLOW_ACQUIRE,37.9008525,-97.6642091667,-2.0903942271636753,-2.5652282255254493,57.30166,3.7,0.013889988,0.00,2.00,0,0.14,1.99,3.309,-23.8,6.08,1.070,3.04,LEFT,627,503,1026,1025,52.15,inf,0.0,0.947,1.193,1.008,1.132
2026-07-18 11:32:00,FOLLOW_ACQUIRE,37.9008525,-97.6642091667,-2.0903942271636753,-2.5652282255254493,57.13795,3.7,0.010803324000000001,0.00,2.00,0,0.14,1.99,3.309,-23.6,6.12,1.070,3.06,LEFT,626,504,935,931,29.22,inf,0.0,0.948,1.192,1.009,1.131
2026-07-18 11:32:00,FOLLOW_ACQUIRE,37.9008525,-97.6642091667,-2.0903942271636753,-2.5652282255254493,57.24254,3.7,0.009774436,0.00,2.00,0,0.14,1.99,3.309,-23.7,6.09,1.070,3.05,LEFT,626,504,838,828,18.69,inf,0.0,0.947,1.193,1.009,1.132
2026-07-18 11:32:00,FOLLOW_ACQUIRE,37.9008528333,-97.664209,-2.053399730666917,-2.5505668512966935,56.85826,3.7,0.067392164,0.00,2.00,0,0.14,1.99,3.274,-23.2,6.16,1.070,3.08,LEFT,626,504,737,723,18.50,inf,0.0,0.948,1.192,1.009,1.131
2026-07-18 11:32:00,FOLLOW_ACQUIRE,37.9008531667,-97.6642083333,-2.016394149079583,-2.4919301878209605,56.51349,3.7,0.327700828,0.00,2.00,0,0.14,1.99,3.206,-23.2,6.08,1.070,3.04,LEFT,627,503,653,625,11.52,11.00,0.0,0.947,1.193,1.008,1.132
2026-07-18 11:32:01,FOLLOW_ACQUIRE,37.9008538333,-97.664207,-1.9424051835241323,-2.374665657399642,54.58393,3.7,0.6631183159999999,0.00,2.00,0,0.14,1.99,3.068,-22.0,6.23,1.070,3.12,LEFT,625,505,639,536,3.48,3.84,0.0,0.950,1.190,1.010,1.130
2026-07-18 11:32:01,FOLLOW_ACQUIRE,37.9008548333,-97.664205,-1.8314106303255817,-2.1987644670610034,51.43915,3.7,0.8771270200000001,0.00,2.00,0,0.14,1.99,2.862,-20.0,6.56,1.070,3.28,LEFT,622,508,635,515,3.06,3.26,0.0,0.956,1.184,1.013,1.127
2026-07-18 11:32:01,FOLLOW_ACQUIRE,37.9008558333,-97.664203,-1.7204160750379247,-2.0228632825529567,49.9704,3.7,1.0319746639999998,0.00,2.00,0,0.14,1.99,2.656,-19.8,6.36,1.070,3.18,LEFT,624,506,632,512,3.08,8.13,0.0,0.952,1.188,1.011,1.129
2026-07-18 11:32:01,FOLLOW_ACQUIRE,37.9008571667,-97.6642011667,-1.5724159112042562,-1.8616234552946194,47.53015,3.7,1.062841304,0.00,2.00,0,0.14,1.99,2.437,-18.2,6.54,1.070,3.27,LEFT,622,508,631,512,3.11,5.02,0.0,0.956,1.184,1.013,1.127
2026-07-18 11:32:01,FOLLOW_ACQUIRE,37.9008581667,-97.6641991667,-1.461421348205931,-1.6857222809832044,46.53866,3.7,1.014483568,0.00,2.00,0,0.14,1.99,2.231,-18.7,6.10,1.070,3.05,LEFT,626,504,631,512,3.11,11.37,0.0,0.947,1.193,1.009,1.131
2026-07-18 11:32:02,FOLLOW_ACQUIRE,37.9008595,-97.6641968333,-1.3134322847920377,-1.4804983832448064,44.82341,3.7,1.1338345760000001,0.00,2.00,0,0.14,1.99,1.979,-18.7,5.74,1.070,2.87,LEFT,630,500,631,512,3.11,7.92,0.0,0.940,1.200,1.005,1.135
2026-07-18 11:32:02,FOLLOW_ACQUIRE,37.9008606667,-97.6641953333,-1.1839349076721892,-1.3485725014903542,44.567,3.7,1.189908972,0.00,2.00,0,0.14,1.99,1.795,-19.5,5.27,1.070,2.63,LEFT,636,494,631,508,3.02,49.18,0.0,0.928,1.212,0.999,1.141
2026-07-18 11:32:02,FOLLOW_ACQUIRE,37.9008621667,-97.6641938333,-1.0174430254654403,-1.2166466198466908,41.64253,3.7,1.126117916,0.00,2.00,0,0.14,1.99,1.586,-17.4,5.53,1.070,2.77,LEFT,633,497,636,502,2.77,4.29,0.0,0.935,1.205,1.002,1.138
2026-07-18 11:32:02,FOLLOW_ACQUIRE,37.900864,-97.6641921667,-0.8139566429608248,-1.0700681739104903,40.15106,3.7,1.1502967840000002,0.00,2.00,0,0.14,1.99,1.344,-16.8,5.28,1.070,2.64,LEFT,636,494,633,500,2.81,9.28,0.0,0.928,1.212,0.999,1.141
2026-07-18 11:32:02,FOLLOW_ACQUIRE,37.9008655,-97.6641908333,-0.6474647554956036,-0.9527948668402879,38.29554,3.7,1.02374356,0.00,2.00,0,0.14,1.99,1.152,-15.8,5.25,1.070,2.63,LEFT,636,494,636,501,2.76,5.81,0.0,0.927,1.213,0.999,1.141
2026-07-18 11:32:03,FOLLOW_ACQUIRE,37.9008673333,-97.664189,-0.4439783695223982,-0.7915550733387794,38.15541,3.7,1.1585278879999998,0.00,2.00,0,0.14,1.99,0.908,-17.2,4.41,1.070,2.20,LEFT,650,480,635,499,2.74,94.79,0.0,0.900,1.240,0.985,1.155
2026-07-18 11:32:03,FOLLOW_ACQUIRE,37.9008691667,-97.6641878333,-0.24048087542417004,-0.6889431345760972,36.07156,3.7,1.202255628,0.00,2.00,0,0.14,1.99,0.730,-15.7,4.41,1.070,2.20,LEFT,650,480,638,493,2.58,6.64,0.0,0.900,1.240,0.985,1.155
2026-07-18 11:32:03,FOLLOW_ACQUIRE,37.9008706667,-97.6641861667,-0.07398898452906395,-0.5423647171846783,36.30301,3.7,1.095251276,0.00,2.00,0,0.14,1.99,0.547,-18.0,3.52,1.070,1.76,LEFT,671,459,638,487,2.49,53.38,0.0,0.857,1.283,0.964,1.176
2026-07-18 11:32:03,FOLLOW_TRACK,37.9008726667,-97.664185,0.14800021305173144,-0.4397527870597584,35.48738,3.7,1.25781558,0.12,2.12,0,0.15,2.11,0.449,-18.8,3.18,1.070,1.59,LEFT,683,447,646,476,2.22,17.49,0.0,0.834,1.306,0.952,1.188
2026-07-18 11:32:03,FOLLOW_TRACK,37.9008746667,-97.6641835,0.3699894110866789,-0.3078269419222858,33.44657,3.7,1.190423416,0.35,2.35,0,0.16,2.34,0.332,-20.0,2.96,1.070,1.48,LEFT,691,439,665,463,1.86,6.34,0.0,0.817,1.323,0.944,1.196
2026-07-18 11:32:04,FOLLOW_TRACK,37.9008766667,-97.6641825,0.5919786105913265,-0.21987638043052601,30.08757,3.7,1.119430144,0.58,2.58,0,0.18,2.57,0.258,-18.7,3.14,1.070,1.57,LEFT,684,446,681,449,1.61,4.19,0.0,0.832,1.308,0.951,1.189
2026-07-18 11:32:04,FOLLOW_TRACK,37.9008781667,-97.6641813333,0.7584705106075167,-0.11726446830621844,28.21015,3.7,1.069014632,0.75,2.75,1,0.19,2.74,0.168,-19.4,3.02,1.070,1.51,LEFT,689,441,681,447,1.60,6.33,0.0,0.822,1.318,0.946,1.194
2026-07-18 11:32:04,FOLLOW_TRACK,37.90088,-97.6641805,0.9619569136240644,-0.04397527332529112,25.25672,3.7,1.20122674,0.96,2.96,1,0.20,2.95,0.110,-18.2,3.21,1.070,1.60,LEFT,682,448,682,446,1.59,4.51,0.0,0.836,1.304,0.953,1.187
2026-07-18 11:32:04,FOLLOW_TRACK,37.9008821667,-97.6641796667,1.202448916952343,0.02931391770411522,21.1294,7.8,1.117372368,1.20,3.20,1,0.23,3.19,0.054,-15.3,3.79,0.960,1.89,LEFT,709,531,682,448,1.60,3.16,0.0,0.782,1.137,0.871,1.049
2026-07-18 11:32:04,FOLLOW_TRACK,37.9008843333,-97.6641788333,1.4429298224721134,0.10261190047545857,17.00747,7.8,1.23209338,1.45,3.45,1,0.27,3.44,0.001,-12.3,4.68,0.960,2.34,LEFT,692,548,686,462,1.64,3.28,0.0,0.816,1.104,0.888,1.032
2026-07-18 11:32:05,FOLLOW_TRACK,37.9008866667,-97.6641783333,1.7019246279378781,0.14658716655207535,14.78871,7.8,1.322635524,1.71,3.71,1,0.30,3.69,0.026,-10.4,5.55,0.960,2.78,LEFT,681,560,692,520,2.01,7.27,0.0,0.839,1.081,0.899,1.020
2026-07-18 11:32:05,FOLLOW_TRACK,37.9008891667,-97.6641781667,1.9794111317122842,0.1612397222938692,11.86011,7.8,1.2886822199999999,1.99,3.99,2,0.34,3.97,0.021,-6.8,8.46,0.960,4.23,LEFT,660,580,690,544,2.32,4.87,0.0,0.880,1.039,0.920,1.000
2026-07-18 11:32:05,FOLLOW_TRACK,37.9008913333,-97.6641781667,2.2198920372781945,0.1612397174955388,9.84901,8.8,1.289711108,2.23,4.23,2,0.37,4.21,0.006,-3.8,15.22,0.828,7.61,LEFT,705,667,678,560,2.85,7.40,0.0,0.790,0.866,0.809,0.847
2026-07-18 11:32:05,FOLLOW_TRACK,37.9008935,-97.664178,2.460384041628235,0.1759010651097044,7.33279,8.8,1.073130184,2.47,4.47,2,0.41,4.45,0.005,-0.6,inf,0.828,inf,STRAIGHT,686,686,680,588,3.55,4.63,0.0,0.828,0.828,0.828,0.828
2026-07-18 11:32:05,FOLLOW_TRACK,37.9008951667,-97.664178,2.6453787453634874,0.17590106107308875,5.70399,8.8,0.886387012,2.65,4.65,2,0.44,4.63,0.007,1.8,inf,0.828,inf,STRAIGHT,686,686,686,656,10.01,6.40,0.0,0.828,0.828,0.828,0.828
2026-07-18 11:32:06,FOLLOW_TRACK,37.9008971667,-97.6641783333,2.867367948484608,0.14658714578346155,2.18755,8.8,1.064384636,2.87,4.87,2,0.47,4.84,0.050,7.2,8.04,0.828,4.02,RIGHT,650,722,686,680,48.65,3.70,0.0,0.900,0.756,0.864,0.792
2026-07-18 11:32:06,FOLLOW_TRACK,37.9008981667,-97.6641788333,2.978362550551436,0.10261188122631294,0.64339,3.4,0.7953304240000001,2.98,4.98,2,0.49,4.95,0.101,10.3,5.60,0.836,2.80,RIGHT,630,734,676,688,-24.38,5.45,0.0,0.940,0.731,0.888,0.783
2026-07-18 11:32:06,FOLLOW_TRACK,37.9008998333,-97.6641788333,3.163346154364497,0.10261187885708098,359.16704,3.4,0.919311428,3.15,5.15,3,0.50,5.13,0.124,12.2,4.75,0.836,2.38,RIGHT,621,744,650,717,-4.35,7.10,0.0,0.959,0.713,0.897,0.774
2026-07-18 11:32:06,FOLLOW_TRACK,37.9009011667,-97.6641791667,3.311346356407227,0.07328917212515898,359.67348,3.4,0.803047084,3.30,5.30,3,0.50,5.27,0.173,12.7,4.54,0.836,2.27,RIGHT,618,747,638,734,-3.02,18.28,0.0,0.964,0.707,0.900,0.771
2026-07-18 11:32:06,FOLLOW_TRACK,37.9009025,-97.6641798333,3.4593354596457306,0.014661352719490135,0.24073,3.4,0.8297981720000001,3.44,5.44,3,0.51,5.41,0.251,14.1,4.13,0.836,2.06,RIGHT,611,753,630,739,-2.67,16.48,0.0,0.977,0.694,0.906,0.765
2026-07-18 11:32:07,FOLLOW_TRACK,37.9009038333,-97.6641806667,3.60732456303345,-0.05863661180721499,2.33807,3.4,0.759319344,3.57,5.57,3,0.52,5.54,0.344,14.3,4.09,0.836,2.04,RIGHT,611,754,623,744,-2.41,4.47,0.0,0.979,0.693,0.907,0.764
2026-07-18 11:32:07,FOLLOW_TRACK,37.9009051667,-97.6641813333,3.75532476560148,-0.1172644254156377,0.15453,3.4,0.775267108,3.71,5.71,3,0.53,5.68,0.422,18.4,3.22,0.836,1.61,RIGHT,591,773,621,746,-2.33,3.74,0.0,1.017,0.654,0.926,0.745
2026-07-18 11:32:07,FOLLOW_TRACK,37.9009066667,-97.6641816667,3.921816669712157,-0.1465871267713523,0.65463,3.4,0.890502564,3.87,5.87,3,0.54,5.84,0.474,19.0,3.14,0.836,1.57,RIGHT,589,775,608,752,-2.04,20.12,0.0,1.022,0.649,0.929,0.742
2026-07-18 11:32:07,FOLLOW_TRACK,37.900908,-97.6641821667,4.069805774155522,-0.1905623809920048,1.97227,355.2,0.804075972,4.01,6.01,3,0.54,5.98,0.537,18.8,3.18,1.098,1.59,RIGHT,430,672,602,768,-1.75,7.18,0.0,1.340,0.856,1.219,0.977
2026-07-18 11:32:07,FOLLOW_TRACK,37.9009095,-97.6641825,4.236297677959908,-0.21987628279416324,3.97272,355.2,0.903363664,4.16,6.16,4,0.52,6.13,0.590,17.4,3.41,1.098,1.70,RIGHT,438,664,576,751,-1.75,5.11,0.0,1.324,0.872,1.211,0.985
2026-07-18 11:32:08,FOLLOW_TRACK,37.9009111667,-97.6641831667,4.421292383638861,-0.2785128848738424,5.86949,355.2,0.9362880800000001,4.34,6.34,4,0.51,6.31,0.677,16.8,3.54,1.098,1.77,RIGHT,442,660,482,682,-1.81,6.19,0.0,1.315,0.881,1.207,0.989
2026-07-18 11:32:08,FOLLOW_TRACK,37.9009126667,-97.6641833333,4.587784287811991,-0.2931654340788964,10.34716,355.2,0.9964780280000001,4.50,6.50,4,0.49,6.47,0.717,12.4,4.76,1.098,2.38,RIGHT,470,632,457,670,-1.76,2.40,0.0,1.260,0.936,1.179,1.017
