timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,segment_index,distance_to_start,lookahead_east,lookahead_north,cross_track_error,alpha_deg,bearing,heading_vs_cog_error,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed
2026-07-26 13:25:21,FOLLOW_ACQUIRE,37.9008553333,-97.6642673333,-1.7759100291718242,-7.681014225558987,53.21862,3.8,0.00257222,0.00,0.00,0,7.884,0.00,0.00,7.884,23.8,77.0,,9.78,0.756,9.78,RIGHT,736,778,1093,1095,,inf,0.0,0.783,0.729,0.783,0.729
2026-07-26 13:25:21,FOLLOW_ACQUIRE,37.9008553333,-97.6642673333,-1.7759100291718242,-7.681014225558987,53.07069,3.8,0.0056588839999999994,0.00,0.00,0,7.884,0.00,0.00,7.884,23.9,77.0,,9.73,0.756,9.73,RIGHT,736,778,1074,1078,,inf,0.0,0.783,0.729,0.783,0.729
2026-07-26 13:25:22,FOLLOW_ACQUIRE,37.9008553333,-97.6642673333,-1.7759100291718242,-7.681014225558987,53.20557,3.8,0.014918876000000001,0.00,0.00,0,7.884,0.00,0.00,7.884,23.8,77.0,,9.78,0.756,9.78,RIGHT,736,778,976,972,63.78,inf,0.0,0.783,0.729,0.783,0.729
2026-07-26 13:25:22,FOLLOW_ACQUIRE,37.9008553333,-97.6642673333,-1.7759100291718242,-7.681014225558987,53.46202,3.8,0.011832212,0.00,0.00,0,7.884,0.00,0.00,7.884,23.5,77.0,,9.88,0.756,9.88,RIGHT,736,777,884,875,35.70,inf,0.0,0.783,0.729,0.783,0.729
2026-07-26 13:25:22,FOLLOW_ACQUIRE,37.9008553333,-97.6642671667,-1.7759100431533956,-7.666361659363767,53.63029,3.8,0.043213296000000005,0.00,0.00,0,7.869,0.00,0.00,7.869,23.3,77.0,,9.94,0.756,9.94,RIGHT,736,777,788,794,-63.87,inf,0.0,0.783,0.729,0.783,0.729
2026-07-26 13:25:22,FOLLOW_ACQUIRE,37.9008555,-97.6642666667,-1.7574072830959886,-7.622386352993318,53.60543,3.8,0.256193112,0.00,0.00,0,7.822,0.00,0.00,7.822,23.4,77.0,,9.84,0.756,9.84,RIGHT,736,778,750,785,-11.42,117.29,0.0,0.783,0.729,0.783,0.729
2026-07-26 13:25:22,FOLLOW_ACQUIRE,37.9008558333,-97.6642658333,-1.720412850906236,-7.549088307860623,52.12089,3.8,0.32409972000000004,0.00,0.00,0,7.743,0.00,0.00,7.743,25.0,77.2,,9.15,0.756,9.15,RIGHT,735,779,746,783,-10.86,2.42,0.0,0.785,0.727,0.785,0.727
2026-07-26 13:25:23,FOLLOW_ACQUIRE,37.9008561667,-97.664265,-1.6834073169298125,-7.475799057122937,52.1266,3.8,0.414641864,0.00,0.00,0,7.663,0.00,0.00,7.663,25.2,77.3,,9.00,0.756,9.00,RIGHT,734,779,746,784,-10.56,897.65,0.0,0.785,0.727,0.785,0.727
2026-07-26 13:25:23,FOLLOW_ACQUIRE,37.9008568333,-97.664264,-1.6094183960931299,-7.387848414071603,50.77979,3.8,0.49386624,0.00,0.00,0,7.561,0.00,0.00,7.561,26.9,77.7,,8.35,0.756,8.35,RIGHT,732,781,745,784,-10.30,4.07,0.0,0.788,0.724,0.788,0.724
2026-07-26 13:25:23,FOLLOW_ACQUIRE,37.9008573333,-97.664263,-1.553921174507595,-7.299897787985883,50.13382,3.8,0.613731692,0.00,0.00,0,7.463,0.00,0.00,7.463,27.8,78.0,6.0,7.99,0.756,7.99,RIGHT,731,782,744,784,-10.05,10.82,0.0,0.789,0.723,0.789,0.723
