timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,segment_index,distance_to_start,lookahead_east,lookahead_north,cross_track_error,alpha_deg,bearing,heading_vs_cog_error,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed,t_monotonic_ms,guidance_mode,geometry_class,geometry_reason,signed_cross_track,heading_err_to_tangent,ref_tangent_deg,ref_tangent_confidence,raw_curvature,cmd_curvature,curvature_saturated,curvature_slew_limited,capture_active,intersect_s,intersect_w,speed_limited,formula_used,raw_gary_curvature,raw_gary_radius,final_cmd_curvature,final_desired_turn_radius,current_target_index,next_target_index,gary_A,gary_B,target_advanced,gary_IA,gary_offset_distance,DC,DT
2026-08-23 16:34:16,FOLLOW_TRACK,37.900844,-97.6642016667,-3.0338485181443513,-1.9055990828943603,49.8878,3.7,0.002057776,0.00,2.71,0,3.583,0.19,2.71,3.583,-29.9,20.0,,6.13,1.070,306.79,LEFT,516,514,1092,1096,,inf,0.0,1.069,1.071,1.009,1.131,325,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.19, delta=-44.4deg)",-1.534,-44.4,5.5,1.00,-0.1862,-0.0033,0,1,0,2.19,-4.35,0,GARY_TANGENT_ARC,-0.1862,5.37,-0.0033,306.79,0,1,,,0,-44.4,,2.192,-4.346
2026-08-23 16:34:16,FOLLOW_TRACK,37.900844,-97.6642018333,-3.033848514731171,-1.9202516512381116,49.50539,3.7,0.00257222,0.00,2.71,0,3.590,0.19,2.71,3.590,-29.3,20.2,,6.24,1.070,7.85,LEFT,552,479,1073,1075,,inf,0.0,1.022,1.118,1.010,1.130,531,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.23, delta=-44.0deg)",-1.549,-44.0,5.5,1.00,-0.1814,-0.1275,0,1,0,2.23,-4.31,0,GARY_TANGENT_ARC,-0.1814,5.51,-0.1275,7.85,0,1,,,0,-44.0,,2.228,-4.312
2026-08-23 16:34:16,FOLLOW_TRACK,37.9008441667,-97.6642018333,-3.0153457148384617,-1.9202516468999786,48.5713,3.7,0.009774436,0.00,2.71,0,3.575,0.19,2.71,3.575,-28.4,20.2,,6.42,1.070,5.75,LEFT,565,465,977,969,31.98,inf,0.0,1.005,1.135,1.012,1.128,738,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.27, delta=-43.1deg)",-1.550,-43.1,5.5,1.00,-0.1739,-0.1739,0,0,0,2.27,-4.24,0,GARY_TANGENT_ARC,-0.1739,5.75,-0.1739,5.75,0,1,,,0,-43.1,,2.270,-4.238
2026-08-23 16:34:17,FOLLOW_TRACK,37.9008441667,-97.6642016667,-3.015345718251642,-1.9055990785562273,48.06234,3.7,0.04887218,0.00,2.71,0,3.567,0.19,2.71,3.567,-28.0,20.1,,6.49,1.070,5.83,LEFT,565,466,872,855,19.56,inf,0.0,1.006,1.134,1.012,1.128,955,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.27, delta=-42.6deg)",-1.536,-42.6,5.5,1.00,-0.1717,-0.1717,0,0,0,2.27,-4.22,0,GARY_TANGENT_ARC,-0.1717,5.83,-0.1717,5.83,0,1,,,0,-42.6,,2.270,-4.223
2026-08-23 16:34:17,FOLLOW_TRACK,37.9008443333,-97.6642011667,-2.996854026758281,-1.8616237784599512,47.22344,3.7,0.237158684,0.00,2.71,0,3.528,0.19,2.71,3.528,-27.5,19.8,,6.57,1.070,5.89,LEFT,564,466,785,763,17.96,2.98,0.0,1.006,1.134,1.013,1.127,1137,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.24, delta=-41.7deg)",-1.494,-41.7,5.5,1.00,-0.1699,-0.1699,0,0,0,2.24,-4.20,0,GARY_TANGENT_ARC,-0.1699,5.89,-0.1699,5.89,0,1,,,0,-41.7,,2.244,-4.197
2026-08-23 16:34:17,FOLLOW_TRACK,37.9008445,-97.6642003333,-2.978351243984623,-1.7883257524369265,45.57076,3.7,0.40126632,0.00,2.71,0,3.474,0.19,2.71,3.474,-26.4,19.2,,6.76,1.070,6.06,LEFT,563,468,688,663,18.56,2.81,0.0,1.008,1.132,1.015,1.125,1337,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.21, delta=-40.1deg)",-1.423,-40.1,5.5,1.00,-0.1651,-0.1651,0,0,0,2.21,-4.16,0,GARY_TANGENT_ARC,-0.1651,6.06,-0.1651,6.06,0,1,,,0,-40.1,,2.209,-4.156
2026-08-23 16:34:17,FOLLOW_TRACK,37.9008456667,-97.664199,-2.848853867627159,-1.6710612020516322,41.03629,3.7,0.61218836,0.00,2.71,0,3.303,0.19,2.71,3.303,-22.5,18.5,3.5,7.64,1.070,7.07,LEFT,556,475,594,559,15.24,1.65,0.0,1.017,1.123,1.021,1.119,1551,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.27, delta=-35.6deg)",-1.318,-35.6,5.5,1.00,-0.1414,-0.1414,0,0,0,2.27,-3.86,0,GARY_TANGENT_ARC,-0.1414,7.07,-0.1414,7.07,0,1,,,0,-35.6,,2.267,-3.862
2026-08-23 16:34:17,FOLLOW_TRACK,37.9008468333,-97.664198,-2.7193675818583767,-1.5831105881925625,37.37172,3.7,0.755203792,0.00,2.71,0,3.147,0.19,2.71,3.147,-19.3,18.1,-3.1,8.63,1.070,8.24,LEFT,550,480,573,492,6.97,2.33,0.0,1.025,1.115,1.027,1.113,1747,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.35, delta=-31.9deg)",-1.243,-31.9,5.5,1.00,-0.1214,-0.1214,0,0,0,2.35,-3.57,0,GARY_TANGENT_ARC,-0.1214,8.24,-0.1214,8.24,0,1,,,0,-31.9,,2.353,-3.571
2026-08-23 16:34:18,FOLLOW_TRACK,37.9008483333,-97.6641961667,-2.552875710750501,-1.4218707447144128,31.58057,3.7,1.02374356,0.00,2.71,0,2.922,0.19,2.71,2.922,-14.6,17.0,16.5,10.93,1.070,10.78,LEFT,542,489,564,485,7.21,2.18,0.0,1.035,1.105,1.036,1.104,1961,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.50, delta=-26.1deg)",-1.098,-26.1,5.5,1.00,-0.0928,-0.0928,0,0,0,2.50,-3.15,0,GARY_TANGENT_ARC,-0.0928,10.78,-0.0928,10.78,0,1,,,0,-26.1,,2.497,-3.145
2026-08-23 16:34:18,FOLLOW_TRACK,37.9008501667,-97.6641948333,-2.349378227459234,-1.304597402016509,27.43676,3.7,0.942975852,0.00,2.71,0,2.687,0.19,2.71,2.687,-11.0,16.4,0.7,13.81,1.070,13.81,LEFT,536,495,557,488,8.28,2.18,0.0,1.043,1.097,1.043,1.097,2128,tangent_pose,TANGENT_ARC,"gary tangent arc (s=2.68, delta=-22.0deg)",-1.001,-22.0,5.5,1.00,-0.0724,-0.0724,0,0,0,2.68,-2.69,0,GARY_TANGENT_ARC,-0.0724,13.81,-0.0724,13.81,0,1,,,0,-22.0,,2.678,-2.690
